Beer,Brewery,Location,Style,Size,ABV,IBUs
Our Legacy IPA,Matt Brewing Company,"Utica, NY",American IPA,16 oz.,6.50%,60
Pony Pilsner,Half Acre Beer Company,"Chicago, IL",German Pilsener,16 oz.,5.70%,N/A
A Little Crazy,Revolution Brewing Company,"Chicago, IL",Belgian Pale Ale,12 oz.,6.80%,N/A
Misty Mountain IPA,Back East Brewing Company,"Bloomfield, CT",American IPA,12 oz.,7.00%,N/A
Back East Ale,Back East Brewing Company,"Bloomfield, CT",American Amber / Red Ale,12 oz.,5.00%,N/A
Occidental Dunkel,Occidental Brewing Company,"Portland, OR",Dunkelweizen,16 oz.,5.10%,N/A
Occidental Altbier,Occidental Brewing Company,"Portland, OR",Altbier,16 oz.,5.00%,N/A
Ring of Dingle,Sun King Brewing Company,"Indianapolis, IN",Irish Dry Stout,16 oz.,7.10%,27
Bourbon Barrel Wee Mac,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz. Alumi-Tek®,5.40%,23
Psychopathy,Madtree Brewing Company,"Cincinnati, OH",American IPA,12 oz.,6.90%,70
Gnarly Brown,Madtree Brewing Company,"Cincinnati, OH",American Brown Ale,12 oz.,7.00%,32
Happy Amber,Madtree Brewing Company,"Cincinnati, OH",American Amber / Red Ale,12 oz.,6.00%,30
Helles Golden Lager,Sly Fox Brewing Company,"Pottstown, PA",Munich Helles Lager,12 oz.,4.90%,18
Ride Again Pale Ale,Lucette Brewing Company,"Menominie, WI",American Pale Ale (APA),16 oz.,5.20%,N/A
Sidekick Extra Pale Ale,Two Brothers Brewing Company,"Warrenville, IL",American Pale Ale (APA),12 oz.,5.10%,36
Hipster Breakfast,Southern Prohibition Brewing Com...,"Hattiesburg, MS",Oatmeal Stout,16 oz.,5.80%,40
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Blonde Ale,16 oz.,5.00%,20
Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Pale Ale (APA),16 oz.,5.80%,60
Fremont Organic Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,4.50%,N/A
Shenanigans Summer Ale,Indeed Brewing Company,"Minneapolis, MN",American Pale Wheat Ale,12 oz.,4.60%,27
MechaHopzilla,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Double / Imperial IPA,16 oz.,8.80%,N/A
Elder Betty,Magic Hat Brewing Company,"South Burlington, VT",Hefeweizen,12 oz.,5.50%,13
Overrated! West Coast Style IPA,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.30%,69
Heady Topper,The Alchemist,"Waterbury, VT",American Double / Imperial IPA,16 oz.,8.00%,120
River Runners Pale Ale,Eddyline Brewery & Restaurant,"Buena Vista, CO",American Pale Ale (APA),16 oz.,6.00%,N/A
Descender IPA,Good Life Brewing Company,"Bend, OR",American IPA,12 oz.,7.00%,70
Sweet As Pacific Ale,Good Life Brewing Company,"Bend, OR",American Pale Wheat Ale,12 oz.,6.00%,18
Nut Sack Imperial Brown Ale,Engine 15 Brewing,"Jacksonville Beach, FL",American Brown Ale,12 oz.,7.00%,N/A
Pablo Beach Pale Ale,Green Room Brewing,"Jacksonville, FL",American Pale Ale (APA),12 oz.,5.00%,30
3 Picket Porter,Crooked Fence Brewing Company,"Garden City, ID",American Porter,12 oz.,5.50%,N/A
Rusty Nail Pale Ale,Crooked Fence Brewing Company,"Garden City, ID",American Pale Ale (APA),12 oz.,5.60%,N/A
Babbling Blonde,Rivertowne Brewing Company,"Export, PA",American Blonde Ale,12 oz.,5.30%,N/A
Maxwell's Scottish Ale,Rivertowne Brewing Company,"Export, PA",Scottish Ale,12 oz.,5.10%,N/A
Grateful White,Rivertowne Brewing Company,"Export, PA",Witbier,12 oz.,6.10%,N/A
RT Lager,Rivertowne Brewing Company,"Export, PA",American Amber / Red Lager,12 oz.,5.50%,N/A
Old Wylie's IPA,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,6.20%,N/A
Hala Kahiki Pineapple Beer,Rivertowne Brewing Company,"Export, PA",Fruit / Vegetable Beer,12 oz.,4.80%,N/A
Organic Baba Black Lager,Uinta Brewing Company,"Salt Lake City, UT",Schwarzbier,12 oz.,4.00%,32
Tampa Pale Ale,Brindle Dog Brewing Company,"Tampa Bay, FL",American Pale Ale (APA),12 oz.,???,N/A
Orange Grove Wheat Ale,Brindle Dog Brewing Company,"Tampa Bay, FL",American Pale Wheat Ale,12 oz.,???,N/A
Grey Lady,Cisco Brewers,"Nantucket, MA",Witbier,12 oz.,4.50%,N/A
Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,12 oz.,4.20%,24
Penn Quarter Porter,DC Brau Brewing Company,"Washington, DC",American Porter,12 oz.,5.50%,N/A
Hans' Pils (2015),Real Ale Brewing Company,"Blanco, TX",German Pilsener,12 oz.,5.30%,52
Double Bag,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,16 oz.,7.20%,33
Hop Notch IPA (2013),Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,7.30%,82
Cutthroat Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.00%,34
Side Kick Kölsch,Peace Tree Brewing Company,"Knoxville, IA",Kölsch,12 oz.,5.00%,N/A
Four Squared (2015),Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,6.00%,50
Rise-Up Red (2014),Hopworks Urban Brewery,"Portland, OR",American Amber / Red Ale,16 oz.,5.80%,60
RecreationAle,Terrapin Brewing Company,"Athens, GA",American Pale Ale (APA),12 oz.,4.70%,42
Occidental Kölsch,Occidental Brewing Company,"Portland, OR",Kölsch,16 oz.,4.50%,N/A
Hop Happy,Milwaukee Brewing Company,"Milwaukee, WI",American IPA,16 oz.,7.50%,51
Ozzy,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,7.30%,N/A
Schlafly IPA,Schlafly Brewing Company,"Saint Louis, MO",American IPA,12 oz.,4.50%,30
Schlafly American Brown Ale,Schlafly Brewing Company,"Saint Louis, MO",American Brown Ale,12 oz.,5.00%,30
Power House Porter,Sockeye Brewing Company,"Boise, ID",American Porter,12 oz.,5.70%,N/A
Stout Ol' Friend (2012),Revolution Brewing,"Paonia, CO",American Stout,16 oz.,6.40%,N/A
Epicenter Amber Ale,SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.50%,20
SanTan HefeWeizen,SanTan Brewing Company,"Chandler, AZ",Hefeweizen,12 oz.,5.00%,15
Hop Shock IPA,SanTan Brewing Company,"Chandler, AZ",American IPA,12 oz.,7.00%,85
Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18
West Sixth Amber Ale,West Sixth Brewing,"Lexington, KY",American Amber / Red Ale,12 oz.,5.50%,N/A
Barn Burner Saison,Karbach Brewing Company,"Houston, TX",Saison / Farmhouse Ale,12 oz.,6.60%,20
Disconnected Red,Big Choice Brewing,"Broomfield, CO",American Amber / Red Ale,16 oz.,6.70%,85
Akari Shogun American Wheat Ale,Half Acre Beer Company,"Chicago, IL",American Pale Wheat Ale,16 oz.,5.50%,N/A
Dale's Pale Ale,Oskar Blues Brewery (North Carol...,"Brevard, NC",American Pale Ale (APA),12 oz.,6.50%,65
Owney Irish Style Red Ale,Great River Brewery,"Davenport, IA",Irish Red Ale,16 oz.,5.00%,30
Vanilla Bean Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Oatmeal Stout,16 oz.,5.00%,20
Pete's ESP Lager (1998),Pete's Brewing Company,"San Antonio, TX",American Pale Lager,12 oz.,5.10%,N/A
Pete's Wicked Summer Brew (1995),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A
Pete's Wicked Bohemian Pilsner (1997),Pete's Brewing Company,"San Antonio, TX",Czech Pilsener,12 oz.,4.90%,N/A
The Hole in Hadrian's Wall,Okoboji Brewing Company,"Spirit Lake, IA",Scottish Ale,16 oz.,9.50%,19
33 Select Brown Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Brown Ale,16 oz.,6.50%,26
South Ridge Amber Ale,Crystal Springs Brewing Company,"Boulder, CO",American Amber / Red Ale,16 oz.,6.00%,31
Pete's Wicked Pale Ale (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Ale (APA),12 oz.,???,N/A
Pete's Wicked Summer Brew (2002),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A
Pete's Wicked Summer Brew (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A
Pete's Wicked Summer Brew (1996),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A
Honey Wheat,Morgan Street Brewery,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,4.70%,14
Black Bear Dark Lager,Morgan Street Brewery,"Saint Louis, MO",Schwarzbier,12 oz.,4.60%,24
The Lawn Ranger,Cedar Creek Brewery,"Seven Points, TX",Cream Ale,16 oz.,5.00%,18
Bourbon Barrel Johan,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz. Alumi-Tek®,9.90%,60
Outlaw IPA,Payette Brewing Company,"Garden City, ID",American IPA,12 oz.,6.20%,65
Back in the Saddle Rye Pale Ale,Mavericks Beer Company,"Half Moon Bay, CA",American Pale Ale (APA),12 oz.,3.70%,53
Golden Pilsner,Morgan Street Brewery,"Saint Louis, MO",German Pilsener,12 oz.,5.00%,35
Wynkoop Pumpkin Ale,Wynkoop Brewing Company,"Denver, CO",Pumpkin Ale,12 oz.,5.50%,N/A
Big Red Coq,Brewery Vivant,"Grand Rapids, MI",American Amber / Red Ale,16 oz.,6.00%,N/A
North Fork Lager,Payette Brewing Company,"Garden City, ID",American Pale Lager,12 oz.,4.40%,N/A
Atom Smasher,Two Brothers Brewing Company,"Warrenville, IL",Märzen / Oktoberfest,12 oz.,7.70%,23
Testudo,Two Brothers Brewing Company,"Warrenville, IL",Bière de Garde,12 oz.,4.50%,N/A
Hobnob B & B Pale Ale,Two Brothers Brewing Company,"Warrenville, IL",American Pale Ale (APA),12 oz.,6.50%,N/A
Underachiever,Engine House 9,"Tacoma, WA",American Adjunct Lager,16 oz.,5.00%,N/A
Wachusett Summer,Wachusett Brewing Company,"Westminster, MA",American Pale Wheat Ale,12 oz.,4.70%,N/A
Bronx Pale Ale,The Bronx Brewery,"Bronx, NY",American Pale Ale (APA),16 oz.,6.30%,50
Lower De Boom,21st Amendment Brewery,"San Francisco, CA",American Barleywine,8.4 oz.,9.90%,92
Rocky Mountain Oyster Stout,Wynkoop Brewing Company,"Denver, CO",American Stout,12 oz.,7.50%,N/A
Cabrillo Kölsch,Golden Road Brewing,"Los Angeles, CA",Kölsch,16 oz.,5.00%,N/A
Hubris Quadrupel Anniversary Ale,Brewery Vivant,"Grand Rapids, MI",Quadrupel (Quad),16 oz.,9.90%,N/A
Plow Horse Belgian Style Imperial Stout,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.50%,N/A
Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",English Pale Ale,12 oz.,5.10%,17
Wachusett Light IPA (2013),Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4.00%,37
Aaah Bock Lager,Great River Brewery,"Davenport, IA",Vienna Lager,16 oz.,6.00%,N/A
Big Island Shandy,Tonka Beer Company,"Minnetonka, MN",Shandy,16 oz.,5.00%,N/A
Preservation IPA,Tonka Beer Company,"Minnetonka, MN",American IPA,16 oz.,6.80%,N/A
N Street Drive-In 50th Anniversary IPA,Blue Blood Brewing Company,"Lincoln, NE",American Double / Imperial IPA,12 oz.,???,N/A
Fireside Chat,21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45
Mistress Winter Wheat,Bonfire Brewing Company,"Eagle, CO",Winter Warmer,12 oz.,6.40%,N/A
Quaff India Style Session Ale,Fearless Brewing Company,"Estacada, OR",American IPA,16 oz.,5.10%,N/A
Watership Brown Ale,Red Hare Brewing Company,"Marietta, GA",American Brown Ale,12 oz.,7.20%,55
3Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,9.90%,85
Longfin Lager,Ballast Point Brewing Company,"San Diego, CA",Munich Helles Lager,12 oz.,4.60%,N/A
Sculpin IPA,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,7.00%,70
Ethos IPA,Tallgrass Brewing Company,"Manhattan, KS",American IPA,16 oz.,6.80%,110
Orange Wheat,Hangar 24 Craft Brewery,"Redlands, CA",Fruit / Vegetable Beer,12 oz.,4.60%,17
Hangar 24 Helles Lager,Hangar 24 Craft Brewery,"Redlands, CA",Munich Helles Lager,12 oz.,4.30%,14
Pumpkin Patch Ale (2012),Eddyline Brewery & Restaurant,"Buena Vista, CO",Pumpkin Ale,16 oz.,5.00%,N/A
Hibernal Vinifera Stout,Ska Brewing Company,"Durango, CO",Foreign / Export Stout,12 oz.,8.00%,N/A
467 Ethan's Stout,Blue Blood Brewing Company,"Lincoln, NE",American Stout,12 oz.,5.00%,N/A
Red Cockaded Ale (2013),Southern Star Brewing Company,"Conroe, TX",American Double / Imperial IPA,12 oz.,8.50%,110
Old Potentate,Southern Star Brewing Company,"Conroe, TX",Old Ale,12 oz.,7.20%,40
Tallgrass Pub Ale,Tallgrass Brewing Company,"Manhattan, KS",American Brown Ale,16 oz.,4.40%,12
Macon History Ale,Macon Beer Company,"Macon, GA",American Brown Ale,12 oz.,5.50%,N/A
Elevation Triple India Pale Ale,Renegade Brewing Company,"Denver, CO",American Double / Imperial IPA,12 oz.,9.90%,100
5:00 O'Clock Afternoon Ale,Renegade Brewing Company,"Denver, CO",American Blonde Ale,16 oz.,5.00%,25
The One They Call Zoe,Hops & Grain Brewery,"Austin, TX",American Pale Lager,12 oz.,5.10%,N/A
Big Elm IPA,Big Elm Brewing,"Sheffield, MA",American IPA,12 oz.,7.00%,N/A
Gerry Dog Stout,Big Elm Brewing,"Sheffield, MA",American Stout,12 oz.,6.50%,N/A
413 Farmhouse Ale,Big Elm Brewing,"Sheffield, MA",Saison / Farmhouse Ale,12 oz.,6.00%,N/A
Good People Pale Ale,Good People Brewing Company,"Birmingham, AL",American Pale Ale (APA),12 oz.,5.60%,36
Watershed IPA (2013),Oakshire Brewing,"Eugene, OR",American IPA,12 oz.,6.70%,70
Tent Pole Vanilla Porter,Bonfire Brewing Company,"Eagle, CO",American Porter,16 oz.,6.10%,N/A
Awry Rye Pale Ale,Bonfire Brewing Company,"Eagle, CO",American Pale Ale (APA),12 oz.,5.80%,N/A
Demshitz Brown Ale,Bonfire Brewing Company,"Eagle, CO",American Brown Ale,12 oz.,5.80%,N/A
Winterfest,Sockeye Brewing Company,"Boise, ID",American Strong Ale,16 oz.,8.40%,90
Abominable Ale,Fremont Brewing Company,"Seattle, WA",English Strong Ale,12 oz.,8.00%,N/A
oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,19.2 oz.,8.50%,N/A
oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz.,8.50%,N/A
Get Up Offa That Brown,Golden Road Brewing,"Los Angeles, CA",American Brown Ale,16 oz.,5.50%,20
Loose Cannon,Heavy Seas Beer,"Halethorpe, MD",American IPA,12 oz.,7.20%,45
AARGHtoberfest!,Heavy Seas Beer,"Halethorpe, MD",Märzen / Oktoberfest,12 oz.,6.00%,30
Davy Jones Lager,Heavy Seas Beer,"Halethorpe, MD",Cream Ale,12 oz.,6.00%,N/A
Morning Wood,Big Wood Brewery,"Vadnais Heights, MN",Oatmeal Stout,16 oz.,5.50%,35
Bark Bite IPA,Big Wood Brewery,"Vadnais Heights, MN",American IPA,16 oz.,6.60%,50
Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Porter,16 oz.,6.00%,34
Backyahd IPA,Foolproof Brewing Company,"Pawtucket, RI",American IPA,12 oz.,6.00%,N/A
Raincloud Robust Porter,Foolproof Brewing Company,"Pawtucket, RI",American Porter,12 oz.,6.50%,N/A
Barstool American Golden Ale,Foolproof Brewing Company,"Pawtucket, RI",American Blonde Ale,12 oz.,4.50%,N/A
Bitter Bitch Imperial IPA,Astoria Brewing Company,"Astoria, OR",American Double / Imperial IPA,12 oz.,8.20%,138
Poop Deck Porter,Astoria Brewing Company,"Astoria, OR",American Porter,12 oz.,6.20%,35
Old Red Beard Amber Ale,Astoria Brewing Company,"Astoria, OR",American Amber / Red Ale,12 oz.,6.00%,35
Orignal Blend,Downeast Cider House,"Leominster, MA",Cider,12 oz.,5.10%,N/A
Marooned On Hog Island,21st Amendment Brewery,"San Francisco, CA",American Stout,12 oz.,7.90%,N/A
Shipyard Summer Ale,Shipyard Brewing Company,"Portland, ME",American Pale Wheat Ale,12 oz.,5.10%,N/A
WYLD Extra Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.00%,29
Face Down Brown Ale,Telluride Brewing Company,"Telluride, CO",American Brown Ale,12 oz.,5.70%,N/A
Rude Parrot IPA,7 Seas Brewing Company,"Gig Harbor, WA",American IPA,16 oz.,5.90%,75
Phat Chance,Wild Onion Brewing Company,"Lake Barrington, IL",American Blonde Ale,12 oz.,5.20%,27
Des Moines IPA,Confluence Brewing Company,"Des Moines, IA",American IPA,16 oz.,6.80%,75
Capital Gold Golden Lager,Confluence Brewing Company,"Des Moines, IA",German Pilsener,16 oz.,4.80%,22
Farmer John's Multi-Grain Ale,Confluence Brewing Company,"Des Moines, IA",American Blonde Ale,16 oz.,5.60%,21
Black IPA,Santa Fe Brewing Company,"Santa Fe, NM",American Black Ale,12 oz.,7.10%,95
Topcutter India Pale Ale,Bale Breaker Brewing Company,"Yakima, WA",American IPA,12 oz.,6.80%,70
Field 41 Pale Ale,Bale Breaker Brewing Company,"Yakima, WA",American Pale Ale (APA),12 oz.,4.40%,38
Dank IPA (2012),Dad & Dude's Breweria,"Aurora, CO",American IPA,16 oz.,6.50%,N/A
Manhattan Gold Lager (1990),The Manhattan Brewing Company,"New York, NY",American Amber / Red Lager,12 oz.,???,N/A
Mac's Highlander Pale Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Pale Ale (APA),12 oz.,5.00%,N/A
Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Amber / Red Ale,12 oz.,5.10%,32
Saranac Golden Pilsener (2003),Matt Brewing Company,"Utica, NY",German Pilsener,12 oz.,5.10%,N/A
Saranac Adirondack Light (2002),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.50%,N/A
DAX Light (1998),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.50%,N/A
Saranac Traditional Lager (2000),Matt Brewing Company,"Utica, NY",American Pale Lager,12 oz.,4.80%,N/A
Pomegranate Wheat (2008),Matt Brewing Company,"Utica, NY",Fruit / Vegetable Beer,12 oz.,4.70%,N/A
Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2 oz.,6.50%,65
Phantom Punch Winter Stout,Baxter Brewing Company,"Lewiston, ME",Foreign / Export Stout,12 oz.,6.80%,N/A
Wisco Disco,Stillmank Beer Company,"Green Bay, WI",American Amber / Red Ale,16 oz.,5.10%,31
Shift (1),New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,12 oz.,5.00%,29
Alloy,Tin Man Brewing Company,"Evansville, IN",American IPA,16 oz.,5.80%,36
Rivet Irish Red Ale,Tin Man Brewing Company,"Evansville, IN",Irish Red Ale,16 oz.,5.10%,22
3 Gear Robust Porter,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.20%,50
Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Czech Pilsener,16 oz.,4.50%,35
Twister Creek India Pale Ale,Denali Brewing Company,"Talkeetna, AK",American IPA,12 oz.,6.50%,71
Dallas Blonde,Deep Ellum Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.20%,23
Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,16 oz.,6.50%,44
Dock Street Amber Beer (1992),Dock Street Brewery,"Philadelphia, PA",American Amber / Red Ale,12 oz.,???,N/A
Deep Ellum IPA,Deep Ellum Brewing Company,"Dallas, TX",American IPA,12 oz.,7.00%,70
1335 Wicked Snout,Blue Blood Brewing Company,"Lincoln, NE",Saison / Farmhouse Ale,12 oz.,6.40%,N/A
Secret Stache Stout,Finch's Beer Company,"Chicago, IL",American Stout,16 oz.,5.30%,N/A
Boohai Red Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A
Toxic Sludge,Blue Point Brewing Company,"Patchogue, NY",American Black Ale,16 oz.,7.00%,N/A
Gangway IPA,Red Hare Brewing Company,"Marietta, GA",American IPA,12 oz.,6.20%,55
543 Skull Creek Fresh Hopped Pale Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.50%,N/A
Loafin Bräu,Tampa Bay Brewing Company,"Tampa, FL",Altbier,16 oz.,5.50%,N/A
Fascist Pig Ale,Finch's Beer Company,"Chicago, IL",American Amber / Red Ale,16 oz.,8.00%,72
The Deuce,Sun King Brewing Company,"Indianapolis, IN",American Brown Ale,16 oz. Alumi-Tek®,7.00%,N/A
The Deuce,Oskar Blues Brewery,"Longmont, CO",American Brown Ale,16 oz. Alumi-Tek®,7.00%,N/A
Booyah Farmhouse Ale,Milwaukee Brewing Company,"Milwaukee, WI",Saison / Farmhouse Ale,16 oz.,6.50%,20
Wood Splitter Pilsner (2012),Bonfire Brewing Company,"Eagle, CO",Czech Pilsener,12 oz.,4.80%,N/A
Great Crescent Oktoberfest Lager,Great Crescent Brewery,"Aurora, IN",Märzen / Oktoberfest,16 oz.,5.70%,25
Single Engine Red,Denali Brewing Company,"Talkeetna, AK",Irish Red Ale,12 oz.,5.80%,46
Belgorado,Wynkoop Brewing Company,"Denver, CO",Belgian IPA,12 oz.,6.70%,45
Dirty Hippie Dark Wheat,Palisade Brewing Company,"Palisade, CO",American Dark Wheat Ale,12 oz.,5.30%,N/A
Sly Fox Christmas Ale 2012 (2012),Sly Fox Brewing Company,"Pottstown, PA",Winter Warmer,12 oz.,5.50%,16
Lily Flagg Milk Stout,Straight to Ale,"Huntsville, AL",Milk / Sweet Stout,12 oz.,5.00%,30
Deadicated Amber,Devil's Canyon Brewery,"Belmont, CA",American Amber / Red Ale,16 oz.,5.40%,27
The Velvet Fog,Sun King Brewing Company,"Indianapolis, IN",Quadrupel (Quad),16 oz. Alumi-Tek®,9.00%,24
Sunsplash Golden Ale (2004),Stone Coast Brewing Company,"Portland, ME",American Blonde Ale,12 oz.,4.50%,N/A
Northern Lights Amber Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Amber / Red Ale,12 oz.,5.00%,15
Polar Pale Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Pale Ale (APA),12 oz.,5.20%,17
Chugach Session Ale,Broken Tooth Brewing Company,"Anchorage, AK",Cream Ale,12 oz.,4.80%,N/A
Frankenlou's IPA,Seven Brides Brewery,"Silverton, OR",American IPA,16 oz.,7.00%,105
Becky's Black Cat Porter,Seven Brides Brewery,"Silverton, OR",American Porter,16 oz.,7.00%,55
Abominable Winter Ale (2012),Hopworks Urban Brewery,"Portland, OR",American Strong Ale,16 oz.,7.30%,70
Green Head IPA,Newburyport Brewing Company,"Newburyport, MA",American IPA,12 oz.,7.20%,N/A
Plum Island Belgian White,Newburyport Brewing Company,"Newburyport, MA",Witbier,12 oz.,5.40%,N/A
Newburyport Pale Ale,Newburyport Brewing Company,"Newburyport, MA",American Pale Ale (APA),12 oz.,5.50%,N/A
Oasis,Tallgrass Brewing Company,"Manhattan, KS",Extra Special / Strong Bitter (ESB),16 oz.,7.20%,93
Mountain Fairy Raspberry Wheat,Eddyline Brewery & Restaurant,"Buena Vista, CO",Fruit / Vegetable Beer,16 oz.,5.50%,N/A
Hayride Autumn Ale,Baxter Brewing Company,"Lewiston, ME",Rye Beer,12 oz.,6.60%,N/A
Escoffier Bretta Ale,Brewery Vivant,"Grand Rapids, MI",American Wild Ale,16 oz.,9.20%,N/A
Pumpkan,Wachusett Brewing Company,"Westminster, MA",Pumpkin Ale,12 oz.,5.20%,20
Upslope Christmas Ale,Upslope Brewing Company,"Boulder, CO",Winter Warmer,16 oz.,8.20%,N/A
Upslope Pumpkin Ale,Upslope Brewing Company,"Boulder, CO",Pumpkin Ale,16 oz.,7.70%,N/A
Ex Umbris Rye Imperial Stout,Hess Brewing Company,"San Diego, CA",American Double / Imperial Stout,16 oz.,9.90%,85
Dead Horse Amber,Moab Brewery,"Moab, UT",American Pale Wheat Ale,16 oz.,4.00%,N/A
Harvest Ale,Fremont Brewing Company,"Seattle, WA",Saison / Farmhouse Ale,12 oz.,6.50%,35
